City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,10.4,83,100,0.53,CL,1717112665
1,arraial do cabo,-22.9661,-42.0278,22.09,72,99,9.03,BR,1717112737
2,richards bay,-28.783,32.0377,18.44,39,0,2.46,ZA,1717113032
3,puerto natales,-51.7236,-72.4875,1.14,94,100,0.71,CL,1717112719
4,lihue,21.9789,-159.3672,27.58,71,20,7.72,US,1717112861
5,puerto ayora,-0.7393,-90.3518,22.12,87,77,3.82,EC,1717112657
6,sitka,57.0531,-135.33,11.94,58,100,2.06,US,1717112846
7,zakamensk,50.3741,103.2863,13.36,50,0,0.59,RU,1717113033
8,saldanha,-33.0117,17.9442,7.03,77,17,1.65,ZA,1717112846
9,stornoway,58.2093,-6.3865,10.02,88,85,1.54,GB,1717113033
10,port-aux-francais,-49.35,70.2167,3.34,72,38,13.41,TF,1717112846
11,grytviken,-54.2811,-36.5092,-7.24,78,50,5.65,GS,1717112850
12,demre,36.2537,29.9777,17.01,82,30,0.84,TR,1717113034
13,coalinga,36.1397,-120.3602,33.14,12,0,2.46,US,1717113034
14,adamstown,-25.066,-130.1015,21.51,78,48,9.35,PN,1717112846
15,sarkand,45.41,79.9186,13.97,49,1,3.41,KZ,1717113034
16,saint-louis du nord,19.9333,-72.7167,27.62,81,100,1.75,HT,1717113034
17,castillos,-34.1667,-53.8333,12.2,84,100,0.43,UY,1717113034
18,hadibu,12.65,54.0333,28.51,78,84,6.07,YE,1717113034
19,west island,-12.1568,96.8225,26.99,83,100,7.2,CC,1717112846
20,palikir - national government center,6.9248,158.1611,27.47,89,75,3.6,FM,1717113035
21,albany,42.6001,-73.9662,17.32,64,49,2.17,US,1717112694
22,lajinha,-20.1514,-41.6228,16.37,92,36,1.69,BR,1717113035
23,egilsstadir,65.2653,-14.3948,8.95,61,20,2.06,IS,1717113035
24,dudinka,69.4058,86.1778,-1.85,92,98,2.68,RU,1717113035
25,qaqortoq,60.7167,-46.0333,2.79,78,99,1.8,GL,1717112856
26,fada n'gourma,12.0622,0.3578,32.59,49,100,6.19,BF,1717113035
27,bethel,41.3712,-73.414,19.31,58,17,1.34,US,1717112582
28,margaret river,-33.95,115.0667,16.23,74,68,4.76,AU,1717112858
29,edinburgh of the seven seas,-37.0676,-12.3116,12.01,57,63,4.14,SH,1717112856
30,gamba,-2.65,10.0,24.7,85,98,2.4,GA,1717113036
31,chonchi,-42.6128,-73.8092,8.4,90,100,0.32,CL,1717113036
32,atafu village,-8.5421,-172.5159,29.1,75,40,5.26,TK,1717113036
33,tezu,27.9167,96.1667,22.78,95,100,2.27,IN,1717113036
34,ust-nera,64.5667,143.2,16.94,28,7,3.21,RU,1717113036
35,muynoq,43.7683,59.0214,18.8,41,0,3.28,UZ,1717113036
36,papatowai,-46.5619,169.4708,15.26,61,100,6.32,NZ,1717112851
37,tiksi,71.6872,128.8694,5.87,70,60,2.29,RU,1717112848
38,constitucion,-35.3333,-72.4167,11.69,92,100,2.92,CL,1717113037
39,puerto baquerizo moreno,-0.9,-89.6,21.81,88,82,4.29,EC,1717113037
40,ancud,-41.8697,-73.8203,7.83,83,100,2.22,CL,1717112730
41,lagoa,39.05,-27.9833,17.66,73,2,3.57,PT,1717113037
42,klyuchi,52.2667,79.1667,4.86,84,100,4.4,RU,1717112860
43,san julian,21.0167,-102.1667,32.61,12,41,2.66,MX,1717113037
44,hawaiian paradise park,19.5933,-154.9731,26.73,80,75,4.63,US,1717112847
45,kloulklubed,7.0419,134.2556,29.28,79,100,6.08,PW,1717113038
46,yellowknife,62.456,-114.3525,12.45,49,100,9.26,CA,1717112847
